symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bollingerBands,ema,adx,stochK,stochD,volume,williamsR,atr,cci
LLY,2024-04-16T09:30-04:00[America/New_York],746.739990234375,0.040130637637544986,746.739990234375,784.2100219726562,764.3076970027043307692307692307692,-6.52776528575534862622833016078,31.993201137007110973848269447292,"(739.54894723627189217436640268807,762.05341606298655366438705860807,784.55788488970121515440771452807)",762.05341606298655366438705860807,26.698238086629686449507078190862,0E+1,0,2569200,-100,13.821851590224713302527030586850,-129.90072148920919683142303105593
GOOG,2024-04-16T09:30-04:00[America/New_York],156.0,-0.024563284041075852,151.94000244140625,160.7899932861328,156.2407684326171884615384615384615,1.37708997125549454744926531040,53.224688096361542547820201070070,"(151.44644063426011715851669560155,156.24864743490112865758746942321,161.05085423554214015665824324487)",156.24864743490112865758746942321,18.439157474827104328954304595851,41.598359053891956335174910302517,53.620238335331855472349040352137,15404000,-58.401640946108043664825089697483,1.8007332425577933178525535822075,-10.406551388138348533800004685776
TSLA,2024-04-16T09:30-04:00[America/New_York],157.11000061035156,0.1062631172945998,157.11000061035156,176.8800048828125,169.8376922607421846153846153846154,-2.71878941752761036633764058303,30.552709388099991194474855992432,"(157.68909522048618218880793953309,169.08370828599152663309157187523,180.47832135149687107737520421737)",169.08370828599152663309157187523,18.666469384307925159288354332779,0,13.974104808126328875699053886777,96843300,-100,5.0662267897807397184890671166815,-194.00963061965550351230981479948
V,2024-04-16T09:30-04:00[America/New_York],271.3500061035156,0.027698082416054516,271.2799987792969,279.0799865722656,275.9330772986778769230769230769231,-1.51890806159110645517496903078,27.444569989527291206687296132897,"(270.52096381710461986002971264459,275.37997862920514383993090172282,280.23899344130566781983209080105)",275.37997862920514383993090172282,46.027967150575031759617172640174,0.72848292002831606369369448555743,9.7251076983572675890311948800753,8236700,-99.271517079971683936306305514443,2.0408950286678703870000400016035,-172.35332531405029220419327416736
NVDA,2024-04-16T09:30-04:00[America/New_York],874.1500244140625,0.032548998654208496,853.5399780273438,906.1599731445312,880.6092341496394384615384615384615,-7.93021591212061133926645105698,45.162801646723366172679725617716,"(846.15242325184345415324234310517,880.52850871196055614864803084811,914.90459417207765814405371859105)",880.52850871196055614864803084811,32.540989797561885569203669260751,29.995691741913082138913053111670,26.876276006851705697452476490014,36908300,-70.004308258086917861086946888330,19.960836822441464909170439993140,-49.299373313196296083737550628296
MSFT,2024-04-16T09:30-04:00[America/New_York],414.5799865722656,0.014594064058334476,413.6400146484375,427.92999267578125,421.7507699819711538461538461538462,-0.44255700043315527647307877702,38.404223986220845678079917117748,"(412.41555733444143820587195301678,420.75916727877265271128369718460,429.10277722310386721669544135242)",420.75916727877265271128369718460,19.331141756659680453635073335041,5.9756712711468222877541517926432,13.654183520203366673951750106716,16755300,-94.024328728853177712245848207357,4.2246208649667158294393405857011,-170.07298518977259458139222846303
GOOGL,2024-04-16T09:30-04:00[America/New_York],154.39999389648438,-0.022990799636207353,150.52999877929688,159.41000366210938,154.8399998591496384615384615384615,1.32884207162732801719821590694,52.446758214443124350064732222488,"(150.04073592634430816815850755330,154.81457199730496857556349872064,159.58840806826562898296848988798)",154.81457199730496857556349872064,17.303446448455812010817285025862,39.938020042705743497743172422125,52.975541852218117091179679313033,20767300,-60.061979957294256502256827577875,1.8351510060556457727157234528724,-17.319574470011958340955709815586
META,2024-04-16T09:30-04:00[America/New_York],499.760009765625,-0.02920223976580444,485.5799865722656,527.3400268554688,508.4869267390324538461538461538462,6.26600786390290308238160572087,48.656355254370309307026753171000,"(481.74739110252945429831584177852,506.51071336260068671632453849582,531.27403562267191913433323521312)",506.51071336260068671632453849582,32.833619527435627978738313372057,30.886565154126757032453807012303,40.04214806685463954504747161410,9828800,-69.113434845873242967546192987697,9.5979623340243676129269883591270,-57.016513452943350960046203272940
JPM,2024-04-16T09:30-04:00[America/New_York],180.8000030517578,0.09735396756315162,180.8000030517578,200.3000030517578,194.03922917292668,-3.79083313902473706474802321996,9.235125545169311373293863668788,"(178.59996510793363136733699667111,191.93982022094088419139349081715,205.27967533394813701544998496319)",191.93982022094088419139349081715,54.540857888217605266917604340592,0E+1,0.18366584585915285953565026271892,16448400,-100,2.2417638611517870183363754428917,-170.73657218498643157312102965091
AVGO,2024-04-16T09:30-04:00[America/New_York],1329.06005859375,-0.0027538831908131317,1310.68994140625,1382.4599609375,1337.953838641826923076923076923077,2.0899710584371803557365576079,48.940796323050725440232751230476,"(1297.8385657641280709032395755406,1334.9237910768862254556724296055,1372.0090163896443800081052836704)",1334.9237910768862254556724296055,12.638937076523241994767741707561,19.691402610725538841608307424970,16.805071410562135063653281343986,1890700,-80.308597389274461158391692575030,25.503630606267576021579126212217,-74.285559500086943966929921299290
MA,2024-04-16T09:30-04:00[America/New_York],459.82000732421875,0.04516477286625688,459.7900085449219,481.57000732421875,472.0938485952524153846153846153846,-4.74935923389699913396674655912,21.272415302247458247371182329750,"(455.93660904835034388289725294443,470.16919097230129994795200588789,484.40177289625225601300675883136)",470.16919097230129994795200588789,44.697996953353111008826115737427,0.12760019471026212497819828868633,0.04253339823675404165939942956211,1787200,-99.872399805289737875021801711314,3.9133594269891186211289013106502,-147.85077263645996704186927695106
AAPL,2024-04-16T09:30-04:00[America/New_York],169.3800048828125,0.012246273017543056,167.77999877929688,176.5500030517578,170.6123070350060092307692307692308,0.13660414126705538794207525870,45.107258235596614514109541711957,"(166.14156582335526920461783479987,171.21695494615532657972714916230,176.29234406895538395483646352473)",171.21695494615532657972714916230,17.416908719520523952164721652684,15.122928417831110134721203990861,48.14118271459285662031936901026,73649200,-84.877071582168889865278796009139,2.1802095753551302035177602903959,-9.4905961295778791752580183888393
AMZN,2024-04-16T09:30-04:00[America/New_York],183.32000732421875,-0.016298937586326608,180.0,189.0500030517578,183.7269251896784846153846153846154,1.27943087806282228981460471805,51.898013256521528014129674210754,"(178.66133298095902170339860026122,183.94115437093050169562943721894,189.22097576090198168786027417666)",183.94115437093050169562943721894,20.834837437456963700159204134364,33.981636359944828541651944810123,44.59229480946303667053225363664,32844200,-66.018363640055171458348055189877,2.3108331050136436716189647158502,-15.129386102445811159695826501497
XOM,2024-04-16T09:30-04:00[America/New_York],118.69000244140625,-0.021077121667776234,116.23999786376953,122.19999694824219,119.7969237107496984615384615384615,1.05352112243418935086962390529,50.060909856193703632846821970503,"(116.20134039215884201828186800132,119.58999580462271560798598331403,122.97865121708658919769009862674)",119.58999580462271560798598331403,36.351199588444138466931544970335,32.623220782017807711894951164983,44.474074796490274480039049766157,18072800,-67.376779217982192288105048835017,1.0720623664649075651427718764589,-41.510092616909764625199748340126
WMT,2024-04-16T09:30-04:00[America/New_York],59.84000015258789,0.005484427894294622,59.15999984741211,60.619998931884766,59.86923041710486761538461538461538,-0.037255509815531230009398741986,46.118017985331894841599032155599,"(59.254066616429288708951636739419,59.965444358185361570424942851110,60.676822099941434431898248962801)",59.965444358185361570424942851110,19.535536676983143181693091726975,39.306386422320059606589826665500,46.820827517572160046717614342673,14721700,-60.693613577679940393410173334500,0.59351041885252991396448854257227,-7.3687467238600720197233745134704
UNH,2024-04-16T09:30-04:00[America/New_York],468.8900146484375,0.0521730279395916,439.20001220703125,494.70001220703125,459.5853881835937461538461538461538,-11.39380119756359750637640300676,48.932772008139974707393792831306,"(428.60284839227577193566637255163,460.44077513378681954999212111000,492.27870187529786716431786966837)",460.44077513378681954999212111000,49.187188598195299521458001544516,52.391055928985084239742116424569,21.245812605032664463067454620324,11815200,-47.608944071014915760257883575431,7.0939526217153450073978573997600,64.971507113755317832699020265756
PG,2024-04-16T09:30-04:00[America/New_York],155.9499969482422,0.038828986451511865,155.3300018310547,162.25,157.2007692777193546153846153846154,-1.73126024163209801908231116403,27.521243038546377806176165994751,"(152.73094685013187348870530558668,157.21233391579219076540230521786,161.69372098145250804209930484904)",157.21233391579219076540230521786,49.725717043432497469032899286331,7.9384802944693323692793117002744,3.1583033106958779827112415519501,6102800,-92.061519705530667630720688299726,1.2007804967699210574077066765151,-49.620582446527699049424440899595
