symbol,timestamp,price,change,min,max,average
GOOGL,2024-04-10T15:14:05-04:00[America/New_York],156.1031951904297,-0.03427551027423167,150.52999877929688,156.60000610351562,154.0536888970269088888888888888889
AAPL,2024-04-10T15:14:06-04:00[America/New_York],168.0800018310547,0.019827350018637384,168.0800018310547,171.47999572753906,169.3999989827473988888888888888889
GOOG,2024-04-10T15:14:05-04:00[America/New_York],157.60000610351562,-0.03507166550199719,151.94000244140625,158.13999938964844,155.4177771674262155555555555555556
UNH,2024-04-10T15:14:05-04:00[America/New_York],451.0050048828125,0.08832627096425551,451.0050048828125,494.70001220703125,464.4583367241753444444444444444444
MA,2024-04-10T15:14:05-04:00[America/New_York],469.8450012207031,0.024347459196356776,469.7699890136719,481.57000732421875,476.06611124674480
AVGO,2024-04-10T15:14:05-04:00[America/New_York],1326.60498046875,-9.015672571107906E-4,1317.5,1363.2099609375,1336.817220052083333333333333333333
META,2024-04-10T15:14:03-04:00[America/New_York],517.5808715820312,-0.06590239691644112,485.5799865722656,527.3400268554688,508.1145460340711777777777777777778
TSLA,2024-04-10T15:14:06-04:00[America/New_York],170.8000030517578,0.02838608808780605,164.89999389648438,176.8800048828125,171.4100002712673577777777777777778
V,2024-04-10T15:14:05-04:00[America/New_York],274.7799987792969,0.015407725382899327,274.0,279.0799865722656,277.0177781846788166666666666666667
AMZN,2024-04-10T15:14:05-04:00[America/New_York],185.25160217285156,-0.027007413006801897,180.0,185.6699981689453,182.8479580349392344444444444444444
LLY,2024-04-10T15:13:29-04:00[America/New_York],760.1199951171875,0.022931804143652697,757.239990234375,784.2100219726562,769.4888916015625
XOM,2024-04-10T15:14:05-04:00[America/New_York],122.11000061035156,-0.050498992209734306,116.23999786376953,122.11000061035156,119.6377783881293388888888888888889
JPM,2024-04-10T15:14:04-04:00[America/New_York],194.89999389648438,0.026959605956062067,194.89999389648438,200.3000030517578,197.7811092800564233333333333333333
NVDA,2024-04-10T15:14:07-04:00[America/New_York],866.7999877929688,0.040683529444585885,853.5399780273438,903.6300048828125,880.2388916015625333333333333333333
MSFT,2024-04-10T15:14:05-04:00[America/New_York],421.9200134277344,-0.0028522822864363714,417.8800048828125,426.2799987792969,422.5966695149739611111111111111111
WMT,2024-04-10T15:14:05-04:00[America/New_York],60.44499969482422,-0.004570409410795739,59.15999984741211,60.44499969482422,59.79166624281141477777777777777778
HD,2024-04-10T15:14:06-04:00[America/New_York],349.5450134277344,0.08877735175684892,349.5450134277344,383.6000061035156,362.56611124674480
ORCL,2024-04-10T15:14:07-04:00[America/New_York],121.68000030517578,0.031287320166224944,121.68000030517578,126.23999786376953,124.4466671413845488888888888888889
PG,2024-04-10T15:14:05-04:00[America/New_York],156.8300018310547,0.03340522754357658,155.4499969482422,162.25,157.8477783203125033333333333333333
JNJ,2024-04-10T15:14:04-04:00[America/New_York],150.38999938964844,0.049307812955164086,150.38999938964844,158.19000244140625,154.1244422064887144444444444444444
ABBV,2024-04-10T15:14-04:00[America/New_York],169.6300048828125,0.06847886217870025,167.89999389648438,182.10000610351562,174.2611117892795144444444444444444
COST,2024-04-10T15:13:40-04:00[America/New_York],720.3212280273438,0.016800809103413045,704.8800048828125,732.6300048828125,715.5756903754340444444444444444444
CRM,2024-04-10T15:14:05-04:00[America/New_York],299.0299987792969,0.007138568127926106,294.1400146484375,304.739990234375,301.2622239854600722222222222222222
MRK,2024-04-10T15:14:05-04:00[America/New_York],126.45999908447266,0.041606653965463966,126.45999908447266,131.9499969482422,128.7299999660915822222222222222222
AMD,2024-04-10T15:14:07-04:00[America/New_York],164.9199981689453,0.08626520499944504,164.9199981689453,183.33999633789062,173.9055548773871533333333333333333
NFLX,2024-04-10T15:13:59-04:00[America/New_York],617.6602172851562,-0.01700920406472224,607.3300170898438,636.1799926757812,620.3911404079861
BAC,2024-04-10T15:14:07-04:00[America/New_York],36.65950012207031,0.03324098385393089,36.65950012207031,37.91999816894531,37.34438832600911377777777777777778
CVX,2024-04-10T15:14:02-04:00[America/New_York],162.3800048828125,-0.02941548895691856,157.74000549316406,162.3800048828125,160.5533362494574666666666666666667
KO,2024-04-10T15:14:05-04:00[America/New_York],58.85139846801758,0.038061487831689375,58.85139846801758,61.18000030517578,59.83237796359592011111111111111111
PEP,2024-04-10T15:14:04-04:00[America/New_York],168.8300018310547,0.03531222712849035,168.8300018310547,175.00999450683594,170.7688869900173644444444444444444
LIN,2024-04-10T15:13:49-04:00[America/New_York],451.0400085449219,0.028600961771659952,451.0400085449219,464.70001220703125,460.4600050184461833333333333333333
TMO,2024-04-10T15:13:52-04:00[America/New_York],574.989990234375,0.010701865940250131,570.6099853515625,589.2000122070312,577.6977810329861
ADBE,2024-04-10T15:13:51-04:00[America/New_York],487.0090026855469,0.03486128261036924,484.2799987792969,504.6000061035156,493.21988593207465
ACN,2024-04-10T15:14:05-04:00[America/New_York],324.30999755859375,0.06433740727449075,324.30999755859375,346.6099853515625,334.2833319769965277777777777777778
DIS,2024-04-10T15:14:02-04:00[America/New_York],117.01000213623047,0.0437234263438577,117.01000213623047,122.81999969482422,119.2766664293077266666666666666667
WFC,2024-04-10T15:14:06-04:00[America/New_York],56.755001068115234,0.020790166242087436,56.68000030517578,57.959999084472656,57.36166720920138866666666666666667
ABT,2024-04-10T15:14:07-04:00[America/New_York],110.95999908447266,0.023755098457178877,110.11000061035156,113.66000366210938,111.5866656833224822222222222222222
CSCO,2024-04-10T15:14:06-04:00[America/New_York],49.239898681640625,0.013426190499301925,48.11000061035156,50.040000915527344,49.13332239786783877777777777777778
